selection_mode;model;corruption_type;corruption_level;accuracy;precision;recall;f1_score
all;MLP;random_feature_drop;0.5;0.5149122807017543;0.24116521249648182;0.5011904761904762;0.27841264186906495
all;MLP;random_feature_drop;0.55;0.5951754385964911;0.26129234549389896;0.38571428571428573;0.2695245747105749
all;MLP;random_feature_drop;0.6;0.5394736842105263;0.12894736842105264;0.35;0.18846153846153846
all;MLP;random_feature_drop;0.65;0.512280701754386;0.2789171203871748;0.6142857142857143;0.3688512965377372
all;MLP;random_feature_drop;0.7;0.5429824561403509;0.13052631578947368;0.35;0.1901098901098901
all;MLP;random_feature_drop;0.75;0.5004385964912281;0.23421052631578948;0.5011904761904762;0.27155635062611805
all;MLP;random_feature_drop;0.8;0.4714912280701754;0.2890706495969654;0.6785714285714286;0.38745600804424335
all;MLP;random_feature_drop;0.85;0.5372807017543859;0.15251058681185722;0.39880952380952384;0.22024448419797257
all;MLP;random_feature_drop;0.9;0.48684210526315785;0.25223068733781356;0.5488095238095239;0.2977040738706155
all;MLP;random_feature_drop;0.95;0.4640350877192982;0.320779019741868;0.6702380952380953;0.38939832097726834
all;MLP;top_k_drop;0.0;0.9377192982456141;0.969849151697652;0.8583333333333334;0.9083605845892142
all;MLP;top_k_drop;0.05;0.5280701754385965;0.14803827751196172;0.4;0.21609311740890685
all;MLP;top_k_drop;0.1;0.531140350877193;0.175311004784689;0.45;0.2513872350559657
all;MLP;top_k_drop;0.15;0.5495614035087719;0.11068933395435492;0.3;0.161712158808933
all;MLP;top_k_drop;0.2;0.4969298245614035;0.2067037453080906;0.55;0.30039318208673044
all;MLP;top_k_drop;0.25;0.5175438596491228;0.19855889724310777;0.425;0.24883315609122061
all;MLP;top_k_drop;0.3;0.5526315789473684;0.11052631578947367;0.3;0.16153846153846155
all;MLP;top_k_drop;0.35;0.5407894736842105;0.1578345753764943;0.36547619047619045;0.20920219565380854
all;MLP;top_k_drop;0.4;0.5530701754385965;0.1589321862348178;0.2976190476190476;0.16922628522745106
all;MLP;top_k_drop;0.45;0.5364035087719298;0.12693488307925777;0.3416666666666667;0.1850927218476887
all;MLP;top_k_drop;0.5;0.5153508771929824;0.16609521230176644;0.4321428571428571;0.23949963837640348
all;MLP;top_k_drop;0.55;0.5864035087719298;0.1236842105263158;0.22023809523809526;0.1365058670143416
all;MLP;top_k_drop;0.6;0.5539473684210525;0.10896617706215547;0.2833333333333333;0.15724606022780466
all;MLP;top_k_drop;0.65;0.5403508771929825;0.1291626794258373;0.3488095238095238;0.18851214574898784
all;MLP;top_k_drop;0.7;0.5539473684210525;0.16052631578947368;0.30357142857142855;0.16820512820512817
