run;selection_mode;model;corruption_type;corruption_level;accuracy;precision;recall;f1_score
0;all;SVM;label_flipping;0.0;0.9649122807017544;1.0;0.9047619047619048;0.95
0;all;SVM;label_flipping;0.05;0.956140350877193;0.9512195121951219;0.9285714285714286;0.9397590361445783
0;all;SVM;label_flipping;0.1;0.956140350877193;0.9743589743589743;0.9047619047619048;0.9382716049382716
0;all;SVM;label_flipping;0.15;0.9385964912280702;0.972972972972973;0.8571428571428571;0.9113924050632911
0;all;SVM;label_flipping;0.2;0.8947368421052632;0.8571428571428571;0.8571428571428571;0.8571428571428571
0;all;SVM;label_flipping;0.25;0.9035087719298246;0.8974358974358975;0.8333333333333334;0.8641975308641975
0;all;SVM;label_flipping;0.3;0.8771929824561403;1.0;0.6666666666666666;0.8
0;all;SVM;label_flipping;0.35;0.8070175438596491;0.8846153846153846;0.5476190476190477;0.6764705882352942
0;all;SVM;label_flipping;0.4;0.7456140350877193;0.76;0.4523809523809524;0.5671641791044776
0;all;SVM;label_flipping;0.45;0.8245614035087719;0.9230769230769231;0.5714285714285714;0.7058823529411765
0;all;SVM;label_flipping;0.5;0.47368421052631576;0.36764705882352944;0.5952380952380952;0.45454545454545453
0;all;SVM;label_flipping;0.55;0.2719298245614035;0.23376623376623376;0.42857142857142855;0.3025210084033613
0;all;SVM;label_flipping;0.6;0.19298245614035087;0.1875;0.35714285714285715;0.2459016393442623
0;all;SVM;label_flipping;0.65;0.11403508771929824;0.0958904109589041;0.16666666666666666;0.12173913043478261
0;all;SVM;label_flipping;0.7;0.11403508771929824;0.13580246913580246;0.2619047619047619;0.17886178861788618
0;all;SVM;label_flipping;0.75;0.05263157894736842;0.06578947368421052;0.11904761904761904;0.0847457627118644
0;all;SVM;label_flipping;0.8;0.06140350877192982;0.07792207792207792;0.14285714285714285;0.10084033613445378
0;all;SVM;label_flipping;0.85;0.06140350877192982;0.07792207792207792;0.14285714285714285;0.10084033613445378
0;all;SVM;label_flipping;0.9;0.06140350877192982;0.07792207792207792;0.14285714285714285;0.10084033613445378
0;all;SVM;label_flipping;0.95;0.07017543859649122;0.07894736842105263;0.14285714285714285;0.1016949152542373
0;all;SVM;gaussian_noise;0.0;0.9649122807017544;1.0;0.9047619047619048;0.95
0;all;SVM;gaussian_noise;0.05;0.9473684210526315;0.95;0.9047619047619048;0.926829268292683
0;all;SVM;gaussian_noise;0.1;0.956140350877193;0.9743589743589743;0.9047619047619048;0.9382716049382716
0;all;SVM;gaussian_noise;0.15;0.9649122807017544;1.0;0.9047619047619048;0.95
0;all;SVM;gaussian_noise;0.2;0.956140350877193;0.9743589743589743;0.9047619047619048;0.9382716049382716
0;all;SVM;gaussian_noise;0.25;0.9385964912280702;1.0;0.8333333333333334;0.9090909090909091
0;all;SVM;gaussian_noise;0.3;0.9473684210526315;1.0;0.8571428571428571;0.9230769230769231
0;all;SVM;gaussian_noise;0.35;0.9210526315789473;1.0;0.7857142857142857;0.88
0;all;SVM;gaussian_noise;0.4;0.9385964912280702;0.9487179487179487;0.8809523809523809;0.9135802469135802
0;all;SVM;gaussian_noise;0.45;0.9122807017543859;1.0;0.7619047619047619;0.8648648648648649
0;all;SVM;gaussian_noise;0.5;0.8947368421052632;1.0;0.7142857142857143;0.8333333333333334
0;all;SVM;gaussian_noise;0.55;0.8771929824561403;1.0;0.6666666666666666;0.8
0;all;SVM;gaussian_noise;0.6;0.9122807017543859;1.0;0.7619047619047619;0.8648648648648649
0;all;SVM;gaussian_noise;0.65;0.8859649122807017;1.0;0.6904761904761905;0.8169014084507042
0;all;SVM;gaussian_noise;0.7;0.8157894736842105;1.0;0.5;0.6666666666666666
0;all;SVM;gaussian_noise;0.75;0.8859649122807017;1.0;0.6904761904761905;0.8169014084507042
0;all;SVM;gaussian_noise;0.8;0.7982456140350878;1.0;0.4523809523809524;0.6229508196721312
0;all;SVM;gaussian_noise;0.85;0.631578947368421;0.0;0.0;0.0
0;all;SVM;gaussian_noise;0.9;0.631578947368421;0.0;0.0;0.0
0;all;SVM;gaussian_noise;0.95;0.631578947368421;0.0;0.0;0.0
0;all;SVM;outliers;0.0;0.9649122807017544;1.0;0.9047619047619048;0.95
0;all;SVM;outliers;0.05;0.956140350877193;0.9743589743589743;0.9047619047619048;0.9382716049382716
0;all;SVM;outliers;0.1;0.9824561403508771;1.0;0.9523809523809523;0.975609756097561
0;all;SVM;outliers;0.15;0.9473684210526315;1.0;0.8571428571428571;0.9230769230769231
0;all;SVM;outliers;0.2;0.9473684210526315;1.0;0.8571428571428571;0.9230769230769231
0;all;SVM;outliers;0.25;0.9473684210526315;1.0;0.8571428571428571;0.9230769230769231
0;all;SVM;outliers;0.3;0.9210526315789473;1.0;0.7857142857142857;0.88
0;all;SVM;outliers;0.35;0.9298245614035088;0.9722222222222222;0.8333333333333334;0.8974358974358975
0;all;SVM;outliers;0.4;0.9298245614035088;1.0;0.8095238095238095;0.8947368421052632
0;all;SVM;outliers;0.45;0.9035087719298246;1.0;0.7380952380952381;0.8493150684931506
0;all;SVM;outliers;0.5;0.8947368421052632;1.0;0.7142857142857143;0.8333333333333334
0;all;SVM;outliers;0.55;0.8771929824561403;1.0;0.6666666666666666;0.8
0;all;SVM;outliers;0.6;0.8596491228070176;1.0;0.6190476190476191;0.7647058823529411
0;all;SVM;outliers;0.65;0.7894736842105263;1.0;0.42857142857142855;0.6
0;all;SVM;outliers;0.7;0.8070175438596491;1.0;0.47619047619047616;0.6451612903225806
0;all;SVM;outliers;0.75;0.7894736842105263;1.0;0.42857142857142855;0.6
0;all;SVM;outliers;0.8;0.631578947368421;0.0;0.0;0.0
0;all;SVM;outliers;0.85;0.6754385964912281;1.0;0.11904761904761904;0.2127659574468085
0;all;SVM;outliers;0.9;0.631578947368421;0.0;0.0;0.0
0;all;SVM;outliers;0.95;0.631578947368421;0.0;0.0;0.0
0;all;SVM;missing_features;0.0;0.9649122807017544;1.0;0.9047619047619048;0.95
0;all;SVM;missing_features;0.05;0.956140350877193;1.0;0.8809523809523809;0.9367088607594937
0;all;SVM;missing_features;0.1;0.956140350877193;1.0;0.8809523809523809;0.9367088607594937
0;all;SVM;missing_features;0.15;0.9736842105263158;1.0;0.9285714285714286;0.9629629629629629
0;all;SVM;missing_features;0.2;0.9649122807017544;1.0;0.9047619047619048;0.95
0;all;SVM;missing_features;0.25;0.9736842105263158;1.0;0.9285714285714286;0.9629629629629629
0;all;SVM;missing_features;0.3;0.9649122807017544;1.0;0.9047619047619048;0.95
0;all;SVM;missing_features;0.35;0.9649122807017544;1.0;0.9047619047619048;0.95
0;all;SVM;missing_features;0.4;0.9736842105263158;1.0;0.9285714285714286;0.9629629629629629
0;all;SVM;missing_features;0.45;0.9649122807017544;1.0;0.9047619047619048;0.95
0;all;SVM;missing_features;0.5;0.9736842105263158;1.0;0.9285714285714286;0.9629629629629629
0;all;SVM;missing_features;0.55;0.956140350877193;1.0;0.8809523809523809;0.9367088607594937
0;all;SVM;missing_features;0.6;0.9649122807017544;1.0;0.9047619047619048;0.95
0;all;SVM;missing_features;0.65;0.9649122807017544;1.0;0.9047619047619048;0.95
0;all;SVM;missing_features;0.7;0.956140350877193;0.9743589743589743;0.9047619047619048;0.9382716049382716
0;all;SVM;missing_features;0.75;0.9736842105263158;1.0;0.9285714285714286;0.9629629629629629
0;all;SVM;missing_features;0.8;0.9473684210526315;1.0;0.8571428571428571;0.9230769230769231
0;all;SVM;missing_features;0.85;0.9649122807017544;0.9523809523809523;0.9523809523809523;0.9523809523809523
0;all;SVM;missing_features;0.9;0.9210526315789473;0.9714285714285714;0.8095238095238095;0.8831168831168831
0;all;SVM;missing_features;0.95;0.8596491228070176;1.0;0.6190476190476191;0.7647058823529411
0;all;SVM;data_drift;0.0;0.9649122807017544;1.0;0.9047619047619048;0.95
0;all;SVM;data_drift;0.05;0.9649122807017544;0.975;0.9285714285714286;0.9512195121951219
0;all;SVM;data_drift;0.1;0.9649122807017544;1.0;0.9047619047619048;0.95
0;all;SVM;data_drift;0.15;0.9473684210526315;1.0;0.8571428571428571;0.9230769230769231
0;all;SVM;data_drift;0.2;0.9122807017543859;0.9444444444444444;0.8095238095238095;0.8717948717948718
0;all;SVM;data_drift;0.25;0.9385964912280702;0.972972972972973;0.8571428571428571;0.9113924050632911
0;all;SVM;data_drift;0.3;0.9385964912280702;1.0;0.8333333333333334;0.9090909090909091
0;all;SVM;data_drift;0.35;0.9298245614035088;1.0;0.8095238095238095;0.8947368421052632
0;all;SVM;data_drift;0.4;0.9210526315789473;1.0;0.7857142857142857;0.88
0;all;SVM;data_drift;0.45;0.9385964912280702;1.0;0.8333333333333334;0.9090909090909091
0;all;SVM;data_drift;0.5;0.8947368421052632;1.0;0.7142857142857143;0.8333333333333334
0;all;SVM;data_drift;0.55;0.9035087719298246;1.0;0.7380952380952381;0.8493150684931506
0;all;SVM;data_drift;0.6;0.8947368421052632;1.0;0.7142857142857143;0.8333333333333334
0;all;SVM;data_drift;0.65;0.8421052631578947;1.0;0.5714285714285714;0.7272727272727273
0;all;SVM;data_drift;0.7;0.8596491228070176;1.0;0.6190476190476191;0.7647058823529411
0;all;SVM;data_drift;0.75;0.8157894736842105;1.0;0.5;0.6666666666666666
0;all;SVM;data_drift;0.8;0.631578947368421;0.0;0.0;0.0
0;all;SVM;data_drift;0.85;0.8157894736842105;1.0;0.5;0.6666666666666666
0;all;SVM;data_drift;0.9;0.631578947368421;0.0;0.0;0.0
0;all;SVM;data_drift;0.95;0.631578947368421;0.0;0.0;0.0
0;all;SVM;random_feature_drop;0.0;0.9649122807017544;1.0;0.9047619047619048;0.95
0;all;SVM;random_feature_drop;0.05;0.956140350877193;1.0;0.8809523809523809;0.9367088607594937
0;all;SVM;random_feature_drop;0.1;0.956140350877193;1.0;0.8809523809523809;0.9367088607594937
0;all;SVM;random_feature_drop;0.15;0.956140350877193;0.9743589743589743;0.9047619047619048;0.9382716049382716
0;all;SVM;random_feature_drop;0.2;0.9649122807017544;1.0;0.9047619047619048;0.95
0;all;SVM;random_feature_drop;0.25;0.956140350877193;0.9743589743589743;0.9047619047619048;0.9382716049382716
0;all;SVM;random_feature_drop;0.3;0.9649122807017544;0.975;0.9285714285714286;0.9512195121951219
0;all;SVM;random_feature_drop;0.35;0.956140350877193;0.9743589743589743;0.9047619047619048;0.9382716049382716
0;all;SVM;random_feature_drop;0.4;0.956140350877193;0.9743589743589743;0.9047619047619048;0.9382716049382716
0;all;SVM;random_feature_drop;0.45;0.9736842105263158;1.0;0.9285714285714286;0.9629629629629629
0;all;SVM;random_feature_drop;0.5;0.9824561403508771;1.0;0.9523809523809523;0.975609756097561
0;all;SVM;random_feature_drop;0.55;0.9473684210526315;0.9736842105263158;0.8809523809523809;0.925
0;all;SVM;random_feature_drop;0.6;0.956140350877193;0.9743589743589743;0.9047619047619048;0.9382716049382716
0;all;SVM;random_feature_drop;0.65;0.9736842105263158;1.0;0.9285714285714286;0.9629629629629629
0;all;SVM;random_feature_drop;0.7;0.9649122807017544;0.9523809523809523;0.9523809523809523;0.9523809523809523
0;all;SVM;random_feature_drop;0.75;0.9824561403508771;1.0;0.9523809523809523;0.975609756097561
0;all;SVM;random_feature_drop;0.8;0.956140350877193;0.9743589743589743;0.9047619047619048;0.9382716049382716
0;all;SVM;random_feature_drop;0.85;0.956140350877193;0.9743589743589743;0.9047619047619048;0.9382716049382716
0;all;SVM;random_feature_drop;0.9;0.7631578947368421;0.7142857142857143;0.5952380952380952;0.6493506493506493
0;all;SVM;random_feature_drop;0.95;0.868421052631579;0.8648648648648649;0.7619047619047619;0.810126582278481
0;all;SVM;top_k_drop;0.0;0.9649122807017544;1.0;0.9047619047619048;0.95
0;all;SVM;top_k_drop;0.05;0.9649122807017544;1.0;0.9047619047619048;0.95
0;all;SVM;top_k_drop;0.1;0.9649122807017544;1.0;0.9047619047619048;0.95
0;all;SVM;top_k_drop;0.15;0.9649122807017544;1.0;0.9047619047619048;0.95
0;all;SVM;top_k_drop;0.2;0.9649122807017544;1.0;0.9047619047619048;0.95
0;all;SVM;top_k_drop;0.25;0.9649122807017544;1.0;0.9047619047619048;0.95
0;all;SVM;top_k_drop;0.3;0.9385964912280702;0.972972972972973;0.8571428571428571;0.9113924050632911
0;all;SVM;top_k_drop;0.35;0.9385964912280702;1.0;0.8333333333333334;0.9090909090909091
0;all;SVM;top_k_drop;0.4;0.9298245614035088;0.9722222222222222;0.8333333333333334;0.8974358974358975
0;all;SVM;top_k_drop;0.45;0.9385964912280702;0.9487179487179487;0.8809523809523809;0.9135802469135802
0;all;SVM;top_k_drop;0.5;0.9385964912280702;0.9487179487179487;0.8809523809523809;0.9135802469135802
0;all;SVM;top_k_drop;0.55;0.956140350877193;1.0;0.8809523809523809;0.9367088607594937
0;all;SVM;top_k_drop;0.6;0.9035087719298246;0.918918918918919;0.8095238095238095;0.8607594936708861
0;all;SVM;top_k_drop;0.65;0.9035087719298246;0.8780487804878049;0.8571428571428571;0.8674698795180723
0;all;SVM;top_k_drop;0.7;0.9122807017543859;0.8478260869565217;0.9285714285714286;0.8863636363636364
0;all;SVM;top_k_drop;0.75;0.9122807017543859;0.8636363636363636;0.9047619047619048;0.8837209302325582
0;all;SVM;top_k_drop;0.8;0.8157894736842105;0.7441860465116279;0.7619047619047619;0.7529411764705882
0;all;SVM;top_k_drop;0.85;0.8245614035087719;0.7619047619047619;0.7619047619047619;0.7619047619047619
0;all;SVM;top_k_drop;0.9;0.7719298245614035;0.7;0.6666666666666666;0.6829268292682927
0;all;SVM;top_k_drop;0.95;0.7543859649122807;0.6842105263157895;0.6190476190476191;0.65
0;all;SVM;duplicates;0.0;0.9649122807017544;1.0;0.9047619047619048;0.95
0;all;SVM;duplicates;0.05;0.9649122807017544;1.0;0.9047619047619048;0.95
0;all;SVM;duplicates;0.1;0.956140350877193;1.0;0.8809523809523809;0.9367088607594937
0;all;SVM;duplicates;0.15;0.9649122807017544;1.0;0.9047619047619048;0.95
0;all;SVM;duplicates;0.2;0.9473684210526315;1.0;0.8571428571428571;0.9230769230769231
0;all;SVM;duplicates;0.25;0.956140350877193;1.0;0.8809523809523809;0.9367088607594937
0;all;SVM;duplicates;0.3;0.9473684210526315;1.0;0.8571428571428571;0.9230769230769231
0;all;SVM;duplicates;0.35;0.956140350877193;0.9743589743589743;0.9047619047619048;0.9382716049382716
0;all;SVM;duplicates;0.4;0.9385964912280702;0.972972972972973;0.8571428571428571;0.9113924050632911
0;all;SVM;duplicates;0.45;0.9473684210526315;1.0;0.8571428571428571;0.9230769230769231
0;all;SVM;duplicates;0.5;0.956140350877193;0.9743589743589743;0.9047619047619048;0.9382716049382716
0;all;SVM;duplicates;0.55;0.9473684210526315;1.0;0.8571428571428571;0.9230769230769231
0;all;SVM;duplicates;0.6;0.956140350877193;0.9743589743589743;0.9047619047619048;0.9382716049382716
0;all;SVM;duplicates;0.65;0.956140350877193;0.9743589743589743;0.9047619047619048;0.9382716049382716
0;all;SVM;duplicates;0.7;0.9649122807017544;1.0;0.9047619047619048;0.95
0;all;SVM;duplicates;0.75;0.956140350877193;0.9743589743589743;0.9047619047619048;0.9382716049382716
0;all;SVM;duplicates;0.8;0.956140350877193;1.0;0.8809523809523809;0.9367088607594937
0;all;SVM;duplicates;0.85;0.956140350877193;1.0;0.8809523809523809;0.9367088607594937
0;all;SVM;duplicates;0.9;0.9473684210526315;1.0;0.8571428571428571;0.9230769230769231
0;all;SVM;duplicates;0.95;0.956140350877193;1.0;0.8809523809523809;0.9367088607594937
0;all;RandomForest;label_flipping;0.0;0.9736842105263158;1.0;0.9285714285714286;0.9629629629629629
0;all;RandomForest;label_flipping;0.05;0.9649122807017544;1.0;0.9047619047619048;0.95
0;all;RandomForest;label_flipping;0.1;0.9385964912280702;0.9487179487179487;0.8809523809523809;0.9135802469135802
