corruption_type,corruption_key,level,scenario,model_pipeline,metric,value
Gaussian Noise,gaussian,0.1,scenario_A,ANN / Full,prec_mean,0.972336
Gaussian Noise,gaussian,0.1,scenario_A,ANN / Full,rec_mean,0.978947
Gaussian Noise,gaussian,0.1,scenario_A,ANN / PCA,acc_mean,0.973626
Gaussian Noise,gaussian,0.1,scenario_A,ANN / PCA,acc_std,0.011207
Gaussian Noise,gaussian,0.1,scenario_A,ANN / PCA,auc_mean,0.991022
Gaussian Noise,gaussian,0.1,scenario_A,ANN / PCA,prec_mean,0.969078
Gaussian Noise,gaussian,0.1,scenario_A,ANN / PCA,rec_mean,0.989474
Gaussian Noise,gaussian,0.1,scenario_A,ANN / FS,acc_mean,0.947253
Gaussian Noise,gaussian,0.1,scenario_A,ANN / FS,acc_std,0.012815
Gaussian Noise,gaussian,0.1,scenario_A,ANN / FS,auc_mean,0.980495
Gaussian Noise,gaussian,0.1,scenario_A,ANN / FS,prec_mean,0.951655
Gaussian Noise,gaussian,0.1,scenario_A,ANN / FS,rec_mean,0.964912
Gaussian Noise,gaussian,0.1,scenario_A,SVM / Full,acc_mean,0.973626
Gaussian Noise,gaussian,0.1,scenario_A,SVM / Full,acc_std,0.005383
Gaussian Noise,gaussian,0.1,scenario_A,SVM / Full,auc_mean,0.990196
Gaussian Noise,gaussian,0.1,scenario_A,SVM / Full,prec_mean,0.972631
Gaussian Noise,gaussian,0.1,scenario_A,SVM / Full,rec_mean,0.985965
Gaussian Noise,gaussian,0.1,scenario_A,SVM / PCA,acc_mean,0.975824
Gaussian Noise,gaussian,0.1,scenario_A,SVM / PCA,acc_std,0.008223
Gaussian Noise,gaussian,0.1,scenario_A,SVM / PCA,auc_mean,0.992466
Gaussian Noise,gaussian,0.1,scenario_A,SVM / PCA,prec_mean,0.975795
Gaussian Noise,gaussian,0.1,scenario_A,SVM / PCA,rec_mean,0.985965
Gaussian Noise,gaussian,0.1,scenario_A,SVM / FS,acc_mean,0.938462
Gaussian Noise,gaussian,0.1,scenario_A,SVM / FS,acc_std,0.01916
Gaussian Noise,gaussian,0.1,scenario_A,SVM / FS,auc_mean,0.975387
Gaussian Noise,gaussian,0.1,scenario_A,SVM / FS,prec_mean,0.948331
Gaussian Noise,gaussian,0.1,scenario_A,SVM / FS,rec_mean,0.954386
Gaussian Noise,gaussian,0.1,scenario_B,ANN / Full,acc_mean,0.967033
Gaussian Noise,gaussian,0.1,scenario_B,ANN / Full,acc_std,0.00695
Gaussian Noise,gaussian,0.1,scenario_B,ANN / Full,auc_mean,0.990093
Gaussian Noise,gaussian,0.1,scenario_B,ANN / Full,prec_mean,0.966234
Gaussian Noise,gaussian,0.1,scenario_B,ANN / Full,rec_mean,0.982456
Gaussian Noise,gaussian,0.1,scenario_B,ANN / PCA,acc_mean,0.978022
Gaussian Noise,gaussian,0.1,scenario_B,ANN / PCA,acc_std,0.00695
Gaussian Noise,gaussian,0.1,scenario_B,ANN / PCA,auc_mean,0.993498
Gaussian Noise,gaussian,0.1,scenario_B,ANN / PCA,prec_mean,0.972587
Gaussian Noise,gaussian,0.1,scenario_B,ANN / PCA,rec_mean,0.992982
Gaussian Noise,gaussian,0.1,scenario_B,ANN / FS,acc_mean,0.936264
Gaussian Noise,gaussian,0.1,scenario_B,ANN / FS,acc_std,0.014579
Gaussian Noise,gaussian,0.1,scenario_B,ANN / FS,auc_mean,0.980392
Gaussian Noise,gaussian,0.1,scenario_B,ANN / FS,prec_mean,0.947889
Gaussian Noise,gaussian,0.1,scenario_B,ANN / FS,rec_mean,0.950877
Gaussian Noise,gaussian,0.1,scenario_B,SVM / Full,acc_mean,0.978022
Gaussian Noise,gaussian,0.1,scenario_B,SVM / Full,acc_std,0.00695
Gaussian Noise,gaussian,0.1,scenario_B,SVM / Full,auc_mean,0.990402
Gaussian Noise,gaussian,0.1,scenario_B,SVM / Full,prec_mean,0.979421
Gaussian Noise,gaussian,0.1,scenario_B,SVM / Full,rec_mean,0.985965
Gaussian Noise,gaussian,0.1,scenario_B,SVM / PCA,acc_mean,0.984615
Gaussian Noise,gaussian,0.1,scenario_B,SVM / PCA,acc_std,0.008791
Gaussian Noise,gaussian,0.1,scenario_B,SVM / PCA,auc_mean,0.991744
Gaussian Noise,gaussian,0.1,scenario_B,SVM / PCA,prec_mean,0.986263
Gaussian Noise,gaussian,0.1,scenario_B,SVM / PCA,rec_mean,0.989474
Gaussian Noise,gaussian,0.1,scenario_B,SVM / FS,acc_mean,0.940659
Gaussian Noise,gaussian,0.1,scenario_B,SVM / FS,acc_std,0.014906
Gaussian Noise,gaussian,0.1,scenario_B,SVM / FS,auc_mean,0.977812
Gaussian Noise,gaussian,0.1,scenario_B,SVM / FS,prec_mean,0.957835
Gaussian Noise,gaussian,0.1,scenario_B,SVM / FS,rec_mean,0.947368
Gaussian Noise,gaussian,0.1,scenario_C,ANN / Full,acc_mean,0.971429
Gaussian Noise,gaussian,0.1,scenario_C,ANN / Full,acc_std,0.014906
Gaussian Noise,gaussian,0.1,scenario_C,ANN / Full,auc_mean,0.993911
Gaussian Noise,gaussian,0.1,scenario_C,ANN / Full,prec_mean,0.975549
Gaussian Noise,gaussian,0.1,scenario_C,ANN / Full,rec_mean,0.978947
Gaussian Noise,gaussian,0.1,scenario_C,ANN / PCA,acc_mean,0.971429
Gaussian Noise,gaussian,0.1,scenario_C,ANN / PCA,acc_std,0.008791
Gaussian Noise,gaussian,0.1,scenario_C,ANN / PCA,auc_mean,0.98968
Gaussian Noise,gaussian,0.1,scenario_C,ANN / PCA,prec_mean,0.969018
Gaussian Noise,gaussian,0.1,scenario_C,ANN / PCA,rec_mean,0.985965
Gaussian Noise,gaussian,0.1,scenario_C,ANN / FS,acc_mean,0.938462
Gaussian Noise,gaussian,0.1,scenario_C,ANN / FS,acc_std,0.014906
Gaussian Noise,gaussian,0.1,scenario_C,ANN / FS,auc_mean,0.979979
Gaussian Noise,gaussian,0.1,scenario_C,ANN / FS,prec_mean,0.950931
Gaussian Noise,gaussian,0.1,scenario_C,ANN / FS,rec_mean,0.950877
Gaussian Noise,gaussian,0.1,scenario_C,SVM / Full,acc_mean,0.978022
Gaussian Noise,gaussian,0.1,scenario_C,SVM / Full,acc_std,0.00695
Gaussian Noise,gaussian,0.1,scenario_C,SVM / Full,auc_mean,0.990402
Gaussian Noise,gaussian,0.1,scenario_C,SVM / Full,prec_mean,0.979421
Gaussian Noise,gaussian,0.1,scenario_C,SVM / Full,rec_mean,0.985965
Gaussian Noise,gaussian,0.1,scenario_C,SVM / PCA,acc_mean,0.984615
Gaussian Noise,gaussian,0.1,scenario_C,SVM / PCA,acc_std,0.008791
Gaussian Noise,gaussian,0.1,scenario_C,SVM / PCA,auc_mean,0.991744
Gaussian Noise,gaussian,0.1,scenario_C,SVM / PCA,prec_mean,0.986263
Gaussian Noise,gaussian,0.1,scenario_C,SVM / PCA,rec_mean,0.989474
Gaussian Noise,gaussian,0.1,scenario_C,SVM / FS,acc_mean,0.940659
Gaussian Noise,gaussian,0.1,scenario_C,SVM / FS,acc_std,0.014906
Gaussian Noise,gaussian,0.1,scenario_C,SVM / FS,auc_mean,0.977812
Gaussian Noise,gaussian,0.1,scenario_C,SVM / FS,prec_mean,0.957835
Gaussian Noise,gaussian,0.1,scenario_C,SVM / FS,rec_mean,0.947368
Gaussian Noise,gaussian,0.25,clean,ANN / Full,acc_mean,0.978022
Gaussian Noise,gaussian,0.25,clean,ANN / Full,acc_std,0.0
Gaussian Noise,gaussian,0.25,clean,ANN / Full,auc_mean,0.991847
Gaussian Noise,gaussian,0.25,clean,ANN / Full,prec_mean,0.975914
Gaussian Noise,gaussian,0.25,clean,ANN / Full,rec_mean,0.989474
